address,category_name,city,local_guid,likes_count,name,permanently_closed,publish_at,published_at_date,reviewer_number_of_reviews,reviews_count,reviews_distb_fivestar,reviews_distb_fourstar,reviews_distb_onestar,reviews_distb_threestar,reviews_distb_twostar,stars,temporarily_closed,text,title,total_score
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,1,Faraz Akhtar,FALSE,a year ago,2021-02-20T17:34:20.011Z,3,433,210,114,25,62,22,1,FALSE,"Pathetic food and buffet, waste of money....do not waste your money going there, go to other buffet places instead like Lal Qila or Chaupal...",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Najam Jawa,FALSE,a year ago,2020-12-28T14:36:38.635Z,385,433,210,114,25,62,22,1,FALSE,Closed right now,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,G Baig (Gbaig),FALSE,a year ago,2020-11-04T16:38:17.008Z,144,433,210,114,25,62,22,1,FALSE,"Poor service, staff did not understand that I need vinegar, no spoons. Requested but staff did not turn up. Overall staff does not care. Sorry to see that",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Syed Nouman Faheem,FALSE,a year ago,2020-10-23T13:01:27.542Z,45,433,210,114,25,62,22,2,FALSE,Way low if compare with price,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Animations House - RV,FALSE,a year ago,2020-10-16T14:12:29.892Z,105,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Muzaffar Siddiqui,FALSE,a year ago,2020-09-10T15:18:15.234Z,24,433,210,114,25,62,22,2,FALSE,Food was not good.,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Waqas Sabir Chhipa,FALSE,2 years ago,2020-01-17T16:34:09.828Z,16,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Malaika Zahid,FALSE,2 years ago,2020-01-13T17:54:16.596Z,20,433,210,114,25,62,22,1,FALSE,They need to work on their food. Like ALOT of work cause it's pretty tasteless.,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Heba Sha,FALSE,2 years ago,2019-11-26T09:22:37.369Z,7,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Tajammal Hussain,FALSE,2 years ago,2019-10-27T12:02:00.664Z,137,433,210,114,25,62,22,2,FALSE,"Food was average. At time of dinner, some extra guests came and all staff was totally confused about how to serve the guests. Waiters used to ask us again and again about our special order items.",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Farah Nadeem,FALSE,2 years ago,2019-10-04T19:32:48.838Z,0,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Talal Mustafa,FALSE,2 years ago,2019-06-14T18:47:23.032Z,1,433,210,114,25,62,22,2,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Haseeb Ahmed,FALSE,2 years ago,2019-06-06T18:07:51.674Z,3,433,210,114,25,62,22,1,FALSE,Worst food ever eat...,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,fraz rizvi,FALSE,3 years ago,2019-05-24T22:35:51.135Z,20,433,210,114,25,62,22,2,FALSE,Sehri menue was not so good,Al Bustan Restaurant,4.1
